Kolera (cholera)|A00
Skade på uspesifisert nerve i legg|S84.9
Skade på blodkar i legg|S85
Skade på arteria poplitea|S85.0
Skade på arteria tibialis (anterior/posterior)|S85.1
Skade på arteria fibularis|S85.2
Skade på vena saphena magna i legg|S85.3
Skade på vena saphena parva i legg|S85.4
Skade på vena poplitea|S85.5
Skade på flere blodkar i legg|S85.7
Skade på andre spesifiserte blodkar i legg|S85.8
Skade på uspesifisert blodkar i legg|S85.9
Skade på muskel og sene i legg|S86
luxatio tend. peronei|S86
Skade på akillessene|S86.0
Skade på annen muskel og sene i leggens bakre muskelgruppe|S86.1
Skade på muskel og sene i leggens fremre muskelgruppe|S86.2
Skade på muskel og sene i peroneus-gruppe|S86.3
Skade på flere muskler og sener i legg|S86.7
Skade på andre spesifiserte muskler og sener i legg|S86.8
Skade på uspesifisert muskel og sene i legg|S86.9
Knusningsskade av kne og legg|S87
Knusningsskade av kne|S87.0
Knusningsskade av andre og uspesifiserte deler av legg|S87.8
Traumatisk amputasjon av legg|S88
Traumatisk amputasjon ved kne|S88.0
Traumatisk amputasjon mellom kne og ankel|S88.1
Traumatisk amputasjon av legg, uspesifisert del|S88.9
Andre og uspesifiserte skader i legg|S89
Flere skader i legg|S89.7
Andre spesifiserte skader i legg|S89.8
Uspesifisert skade i legg|S89.9
Overflateskade på ankel og fot|S90
Skader i ankel og fot|S90-S99
Kontusjon av ankel|S90.0
Kontusjon av tå uten skade på negl|S90.1
Kontusjon av tå med skade på negl|S90.2
Kontusjon av andre og uspesifiserte deler av fot|S90.3
Flere overflateskader på ankel og fot|S90.7
Andre spesifiserte overflateskader på ankel og fot|S90.8
Uspesifisert overflateskade på ankel og fot|S90.9
Åpent sår på ankel og fot|S91
ulcus|S91
vulnus|S91
Åpent sår på ankel|S91.0
ulcus|S91.0
vulnus|S91.0
Åpent sår på tå uten skade på negl|S91.1
ulcus|S91.1
vulnus|S91.1
Åpent sår på tå med skade på negl|S91.2
ulcus|S91.2
vulnus|S91.2
Åpent sår på andre deler av fot|S91.3
ulcus|S91.3
vulnus|S91.3
Flere åpne sår på ankel og fot|S91.7
ulcus|S91.7
vulnus|S91.7
Brudd  i fot, unntatt ankel|S92
fractura|S92
fraktur|S92
Brudd i calcaneus|S92.0
fractura|S92.0
fraktur|S92.0
Brudd i vristben (talus)|S92.1
bein|S92.1
fractura|S92.1
fraktur|S92.1
Brudd i andre fotrotsknokler|S92.2
fractura|S92.2
fraktur|S92.2
Brudd i metatarsalben|S92.3
bein|S92.3
fractura|S92.3
fraktur|S92.3
Brudd i stortå|S92.4
fractura|S92.4
fraktur|S92.4
Brudd i en annen tå|S92.5
fractura|S92.5
fraktur|S92.5
Flere brudd i fot|S92.7
fractura|S92.7
fraktur|S92.7
Uspesifisert brudd i fot|S92.9
fractura|S92.9
fraktur|S92.9
Dislokasjon, ruptur, forstuving og forstrekking av ledd og leddbånd i ankel og fot|S93
distorsjon|S93
luksasjon|S93
subluksasjon|S93
Dislokasjon av ankelledd|S93.0
luksasjon|S93.0
subluksasjon|S93.0
Dislokasjon av tå|S93.1
luksasjon|S93.1
subluksasjon|S93.1
Ruptur av leddbånd i ankel og fot|S93.2
Dislokasjon av andre og uspesifiserte deler av fot|S93.3
luksasjon|S93.3
subluksasjon|S93.3
Forstuving og forstrekking av ankelligament|S93.4
distorsjon|S93.4
leddbånd|S93.4
Forstuving og forstrekking av tå|S93.5
distorsjon|S93.5
Forstuving og forstrekking av andre og uspesifiserte deler av fot|S93.6
distorsjon|S93.6
Skade på nerver i ankel og fot|S94
Skade på nervus plantaris lateralis|S94.0
Skade på nervus plantaris medialis|S94.1
Skade på nervus fibularis profundus i ankel og fot|S94.2
Skade på sensorisk hudnerve i ankel og fot|S94.3
cutan|S94.3
kutan|S94.3
Skade på flere nerver i ankel og fot|S94.7
Skade på andre spesifiserte nerver i ankel og fot|S94.8
Skade på uspesifisert nerve i ankel og fot|S94.9
Skade på blodkar i ankel og fot|S95
Skade på arteria dorsalis pedis|S95.0
Skade på arteria plantaris|S95.1
Skade på vene på fotrygg|S95.2
Skade på flere blodkar i ankel og fot|S95.7
Skade på andre spesifiserte blodkar i ankel og fot|S95.8
Skade på uspesifisert blodkar i ankel og fot|S95.9
Skade på muskel og sene i ankel og fot|S96
Skade på lange tåfleksors muskel og sene i ankel og fot|S96.0
Skade på lange tåekstensors muskel og sene i ankel og fot|S96.1
stein|S96.1
Skade på korte muskel og sene i ankel og fot|S96.2
Skade på flere muskler og sener i ankel og fot|S96.7
Skade på andre spesifiserte muskler og sener i ankel og fot|S96.8
Skade på uspesifisert muskel og sene i ankel og fot|S96.9
Knusningsskade av ankel og fot|S97
Knusningsskade av ankel|S97.0
Knusningsskade av tå|S97.1
Knusningsskade av andre spesifiserte deler av ankel og fot|S97.8
Traumatisk amputasjon av ankel og fot|S98
Traumatisk amputasjon ved ankel|S98.0
Traumatisk amputasjon av én tå|S98.1
Traumatisk amputasjon av to eller flere tær|S98.2
Traumatisk amputasjon av andre deler av fot|S98.3
Traumatisk amputasjon av fot, uspesifisert del|S98.4
Andre og uspesifiserte skader i ankel og fot|S99
Flere skader i ankel og fot|S99.7
Andre spesifiserte skader i ankel og fot|S99.8
Uspesifisert skade i ankel og fot|S99.9
Overflateskader som omfatter flere kroppsregioner|T00
Skader som omfatter flere kroppsregioner|T00-T07
Overflateskader som omfatter hode med hals|T00.0
Overflateskader som omfatter brystkasse (thorax) med buk, nedre del av rygg og bekken|T00.1
mamma|T00.1
Overflateskader som omfatter flere regioner av overekstremitet(er)|T00.2
Overflateskader som omfatter flere regioner av underekstremitet(er)|T00.3
Overflateskader som omfatter flere regioner av overekstremitet(er) med underekstremitet(er)|T00.6
Overflateskader som omfatter andre spesifiserte kombinasjoner av kroppsregioner|T00.8
Flere overflateskader, uspesifisert|T00.9
Åpne sår som omfatter flere kroppsregioner|T01
ulcus|T01
vulnus|T01
Åpne sår som omfatter hode med hals|T01.0
ulcus|T01.0
vulnus|T01.0
Åpne sår som omfatter brystkasse  med buk, nedre del av rygg og bekken|T01.1
mamma|T01.1
ulcus|T01.1
vulnus|T01.1
Åpne sår som omfatter flere regioner av overekstremitet(er)|T01.2
ulcus|T01.2
vulnus|T01.2
Åpne sår som omfatter flere regioner av underekstremitet(er)|T01.3
ulcus|T01.3
vulnus|T01.3
Åpne sår som omfatter flere regioner av overekstremitet(er) med underekstremitet(er)|T01.6
ulcus|T01.6
vulnus|T01.6
Åpne sår som omfatter andre spesifiserte kombinasjoner av kroppsregioner|T01.8
ulcus|T01.8
vulnus|T01.8
Flere åpne sår, uspesifisert|T01.9
ulcus|T01.9
vulnus|T01.9
Brudd  som omfatter flere kroppsregioner|T02
fractura|T02
fraktur|T02
Brudd som omfatter hode med hals|T02.0
fractura|T02.0
fraktur|T02.0
Brudd som omfatter brystkasse (thorax) med nedre del av rygg og bekken|T02.1
fractura|T02.1
fraktur|T02.1
mamma|T02.1
Brudd som omfatter flere regioner av én overekstremitet|T02.2
fractura|T02.2
fraktur|T02.2
Brudd som omfatter flere regioner av én underekstremitet|T02.3
fractura|T02.3
fraktur|T02.3
Brudd som omfatter flere regioner av begge overekstremiteter|T02.4
fractura|T02.4
fraktur|T02.4
Brudd som omfatter flere regioner av begge underekstremiteter|T02.5
fractura|T02.5
fraktur|T02.5
Brudd som omfatter flere regioner av overekstremitet(er) med underekstremitet(er)|T02.6
fractura|T02.6
fraktur|T02.6
Brudd som omfatter brystkasse (thorax) med nedre del av rygg og bekken med ekstremitet(er)|T02.7
fractura|T02.7
fraktur|T02.7
mamma|T02.7
Brudd som omfatter andre spesifiserte kombinasjoner av kroppsregioner|T02.8
fractura|T02.8
fraktur|T02.8
Flere brudd, uspesifiserte|T02.9
fractura|T02.9
fraktur|T02.9
Dislokasjoner, forstuvinger og forstrekkinger som omfatter flere kroppsregioner|T03
distorsjon|T03
luksasjon|T03
subluksasjon|T03
Dislokasjoner, forstuvinger og forstrekkinger som omfatter hode med hals|T03.0
distorsjon|T03.0
luksasjon|T03.0
subluksasjon|T03.0
Dislokasjoner, forstuvinger og forstrekkinger som omfatter brystkasse (thorax) med nedre del av rygg og bekken|T03.1
distorsjon|T03.1
luksasjon|T03.1
mamma|T03.1
subluksasjon|T03.1
Dislokasjoner, forstuvinger og forstrekkinger som omfatter flere regioner av overekstremitet(er)|T03.2
distorsjon|T03.2
luksasjon|T03.2
subluksasjon|T03.2
Dislokasjoner, forstuvinger og forstrekkinger som omfatter flere regioner av underekstremitet(er)|T03.3
distorsjon|T03.3
luksasjon|T03.3
subluksasjon|T03.3
Dislokasjoner, forstuvinger og forstrekkinger som omfatter flere regioner av overekstremitet(er) med underekstremitet(er)|T03.4
distorsjon|T03.4
luksasjon|T03.4
subluksasjon|T03.4
Dislokasjoner, forstuvinger og forstrekkinger som omfatter andre spesifiserte kombinasjoner av kroppsregioner|T03.8
distorsjon|T03.8
luksasjon|T03.8
subluksasjon|T03.8
Flere dislokasjoner, forstuvinger og forstrekkinger, uspesifisert|T03.9
distorsjon|T03.9
luksasjon|T03.9
subluksasjon|T03.9
Knusningsskader som omfatter flere kroppsregioner|T04
Knusningsskader som omfatter hode med hals|T04.0
Knusningsskader som omfatter brystkasse  med buk, nedre del av rygg og bekken|T04.1
mamma|T04.1
Knusningsskader som omfatter flere regioner av overekstremitet(er)|T04.2
Knusningsskader som omfatter flere regioner av underekstremitet(er)|T04.3
Knusningsskader som omfatter flere regioner av overekstremitet(er) med underekstremitet(er)|T04.4
Knusningsskader som omfatter brystkasse  med buk, nedre del av rygg og bekken med ekstremiteter|T04.7
mamma|T04.7
Knusningsskader som omfatter andre spesifiserte kombinasjoner av kroppsregioner|T04.8
Flere knusningsskader, uspesifisert|T04.9
multiple knusningsskader|T04.9
Traumatiske amputasjoner som omfatter flere kroppsdeler|T05
Traumatisk amputasjon av begge hender|T05.0
Traumatisk amputasjon av én hånd og større deler av andre arm [på ethvert nivå ovenfor håndregionen]|T05.1
Traumatisk amputasjon av begge armer [ethvert nivå]|T05.2
Traumatisk amputasjon av begge føtter|T05.3
Traumatisk amputasjon av én fot og større deler av andre ben [på ethvert nivå ovenfor fotregionen]|T05.4
bein|T05.4
Traumatisk amputasjon av begge ben [ethvert nivå]|T05.5
bein|T05.5
Traumatisk amputasjon av over- og underekstremiteter, alle kombinasjoner [ethvert nivå]|T05.6
Traumatiske amputasjoner som omfatter andre spesifiserte kombinasjoner av kroppsregioner|T05.8
Flere traumatiske amputasjoner, uspesifisert|T05.9
Andre skader som omfatter flere kroppsregioner, ikke klassifisert annet sted|T06
Skader på hjerne og hjernenerver med skader på nerver og ryggmarg i halsregion|T06.0
Skader på nerver og ryggmarg som omfatter andre kombinasjoner av kroppsregioner|T06.1
Skader på nerver som omfatter flere kroppsregioner|T06.2
Skader på blodkar som omfatter flere kroppsregioner|T06.3
Skader i muskler og sener som omfatter flere kroppsregioner|T06.4
Skader i intratorakale organer med skade i organer i bukhule  og bekkenorganer|T06.5
intraabdominale organer|T06.5
intrathoracal|T06.5
thoracal|T06.5
Andre spesifiserte skader som omfatter flere kroppsregioner|T06.8
Flere skader, uspesifiserte|T07
multiple indre og ytre skader|T07
multiple skader|T07
multiple ytre og indre skader|T07
multitraume|T07
sønderrivning av hele kroppen|T07
Brudd  i ryggsøyle (columna vertebralis), uspesifisert del|T08
fractura|T08
fraktur|T08
Skader i uspesifisert del av trunkus (truncus), ekstremitet eller kroppsregion|T08-T14
bol|T08-T14
Andre skader på ryggsøyle (columna vertebralis) og trunkus (truncus), uspesifisert del|T09
bol|T09
Overflateskade på trunkus, uspesifisert del|T09.0
bol|T09.0
skade på ryggraden|T09.0
Åpent sår på trunkus, uspesifisert del|T09.1
bol|T09.1
ulcus|T09.1
vulnus|T09.1
Dislokasjon, forstuving og forstrekking av uspesifisert ledd og leddbånd i trunkus|T09.2
bol|T09.2
distorsjon|T09.2
luksasjon|T09.2
subluksasjon|T09.2
Skade på ryggmarg, uspesifisert del|T09.3
knusningsskade på ryggmargen|T09.3
Skade på uspesifisert nerve, ryggmargsnerverot og nervepleksus  i trunkus|T09.4
bol|T09.4
Skade på uspesifisert muskel og sene i trunkus|T09.5
bol|T09.5
Traumatisk amputasjon av trunkus, uspesifisert del|T09.6
bol|T09.6
Andre spesifiserte skader i trunkus, uspesifisert del|T09.8
bol|T09.8
Uspesifisert skade i trunkus, uspesifisert del|T09.9
bol|T09.9
skade på brystkasse og abdomen|T09.9
Brudd  i overekstremitet, uspesifisert del|T10
fractura|T10
fraktur|T10
Andre skader i overekstremitet, uspesifisert del|T11
Overflateskade på overekstremitet, uspesifisert del|T11.0
Åpent sår på overekstremitet, uspesifisert del|T11.1
ulcus|T11.1
vulnus|T11.1
Dislokasjon, forstuving og forstrekking av uspesifisert ledd og leddbånd i overekstremitet, uspesifisert del|T11.2
distorsjon|T11.2
luksasjon|T11.2
subluksasjon|T11.2
Skade på uspesifisert nerve i overekstremitet, uspesifisert del|T11.3
Skade på uspesifisert blodkar i overekstremitet, uspesifisert del|T11.4
Skade på uspesifisert muskel og sene i overekstremitet, uspesifisert del|T11.5
Traumatisk amputasjon av overekstremitet, uspesifisert nivå|T11.6
Andre spesifiserte skader i overekstremitet, uspesifisert del|T11.8
Uspesifisert skade i overekstremitet, uspesifisert del|T11.9
Brudd  i underekstremitet, uspesifisert del|T12
fractura|T12
fraktur|T12
Andre skader i underekstremitet, uspesifisert del|T13
Overflateskade på underekstremitet, uspesifisert del|T13.0
hematom i underekstremitet|T13.0
Åpent sår på underekstremitet, uspesifisert del|T13.1
ulcus|T13.1
vulnus|T13.1
Dislokasjon, forstuving og forstrekking av uspesifisert ledd og leddbånd i underekstremitet, uspesifisert del|T13.2
distorsjon|T13.2
luksasjon|T13.2
subluksasjon|T13.2
Skade på uspesifisert nerve i underekstremitet, uspesifisert del|T13.3
Skade på uspesifisert blodkar i underekstremitet, uspesifisert del|T13.4
Skade på uspesifisert muskel og sene i underekstremitet, uspesifisert del|T13.5
Traumatisk amputasjon av underekstremitet, uspesifisert nivå|T13.6
Andre spesifiserte skader i underekstremitet, uspesifisert del|T13.8
Uspesifisert skade i underekstremitet, uspesifisert del|T13.9
Skade i uspesifisert kroppsregion|T14
Overflateskade på uspesifisert kroppsregion|T14.0
kontusionsblødning|T14.0
ytre og indre skade|T14.0
Åpent sår på uspesifisert kroppsregion|T14.1
skuddskade|T14.1
ulcus|T14.1
vulnus|T14.1
Brudd i uspesifisert kroppsregion|T14.2
fractura|T14.2
fraktur|T14.2
Dislokasjon, forstuving og forstrekking i uspesifisert kroppsregion|T14.3
distorsjon|T14.3
luksasjon|T14.3
subluksasjon|T14.3
Skade på nerve(r) i uspesifisert kroppsregion|T14.4
Skade på blodkar i uspesifisert kroppsregion|T14.5
karskade|T14.5
Skade på sener og muskler i uspesifisert kroppsregion|T14.6
Knusningsskade og traumatisk amputasjon av uspesifisert kroppsregion|T14.7
knusningsskade|T14.7
Andre skader i uspesifisert kroppsregion|T14.8
indre skade|T14.8
Uspesifisert skade|T14.9
skade|T14.9
skader|T14.9
traumatisk blødning|T14.9
traume|T14.9
Fremmedlegeme i fremre del av øye|T15
corpus alienum|T15
Virkninger av fremmedlegeme som har trengt inn gjennom naturlig åpning|T15-T19
corpus alienum|T15-T19
Fremmedlegeme i hornhinne|T15.0
corpus alienum|T15.0
kornea|T15.0
Fremmedlegeme i konjunktivalsekk|T15.1
bindehinne|T15.1
corpus alienum|T15.1
Fremmedlegeme (flere) i andre spesifiserte deler av fremre øye|T15.8
corpus alienum|T15.8
Fremmedlegeme i fremre del av øye, uspesifisert del|T15.9
corpus alienum|T15.9
Fremmedlegeme i øre|T16
corpus alienum|T16
Fremmedlegeme i luftveier|T17
corpus alienum|T17
Fremmedlegeme i nesebihule|T17.0
corpus alienum|T17.0
Fremmedlegeme i nesebor|T17.1
corpus alienum|T17.1
Fremmedlegeme i svelg|T17.2
aspirert fremmedlegeme i pharynx|T17.2
corpus alienum|T17.2
farynks|T17.2
fremmedlegeme i svelget|T17.2
Fremmedlegeme i strupehode|T17.3
corpus alienum|T17.3
fremmedlegeme i larynx|T17.3
Fremmedlegeme i luftrør|T17.4
aspirasjon av mat til trachea|T17.4
corpus alienum|T17.4
fremmedlegeme i trachea|T17.4
trakea|T17.4
Fremmedlegeme i bronkie|T17.5
corpus alienum|T17.5
Fremmedlegeme (flere) i andre spesifiserte deler av luftveier|T17.8
aspirasjon til lunge|T17.8
corpus alienum|T17.8
Fremmedlegeme i luftveier, uspesifisert del|T17.9
aspirasjon|T17.9
aspirasjon av blod|T17.9
aspirasjon av mageinnhold|T17.9
aspirasjon av mat|T17.9
aspirasjon av oppkast|T17.9
aspirasjon av ventrikkelinnhold|T17.9
aspirert|T17.9
aspirert blod til luftveiene|T17.9
blodaspirasjon|T17.9
corpus alienum|T17.9
fremmedlegeme i luftveier|T17.9
Fremmedlegeme i fordøyelseskanal|T18
corpus alienum|T18
Fremmedlegeme i munn|T18.0
corpus alienum|T18.0
Fremmedlegeme i spiserør|T18.1
corpus alienum|T18.1
esophagus|T18.1
fremmedlegeme i øsofagus|T18.1
øsofagus|T18.1
Fremmedlegeme i magesekk|T18.2
corpus alienum|T18.2
ventrikkel|T18.2
Fremmedlegeme i tynntarm|T18.3
corpus alienum|T18.3
Fremmedlegeme i tykktarm|T18.4
corpus alienum|T18.4
Fremmedlegeme i endetarmsåpning og endetarm|T18.5
corpus alienum|T18.5
rektum|T18.5
Fremmedlegeme (flere) i andre spesifiserte deler av fordøyelseskanal|T18.8
corpus alienum|T18.8
Fremmedlegeme i fordøyelseskanal, uspesifisert del|T18.9
corpus alienum|T18.9
Fremmedlegeme i kjønnsorganer og urinveier|T19
corpus alienum|T19
Fremmedlegeme i urinrør|T19.0
corpus alienum|T19.0
uretra|T19.0
Fremmedlegeme i urinblære|T19.1
corpus alienum|T19.1
Fremmedlegeme i ytre kvinnelige kjønnsorganer og skjede|T19.2
corpus alienum|T19.2
Fremmedlegeme i livmor [enhver del]|T19.3
corpus alienum|T19.3
Fremmedlegeme (flere) i andre spesifiserte deler av kjønnsorganer og urinveier|T19.8
corpus alienum|T19.8
Fremmedlegeme i kjønnsorganer og urinveier, uspesifisert del|T19.9
corpus alienum|T19.9
Brannskade og etseskade på hode og hals|T20
brannsår|T20
forbrenning|T20
Brannskader og etseskader på ytre kroppsoverflate, spesifisert etter lokalisasjon|T20-T25
brannsår|T20-T25
forbrenning|T20-T25
Brannskade av uspesifisert grad på hode og hals|T20.0
brannsår|T20.0
forbrenning|T20.0
Brannskade av første grad  på hode og hals|T20.1
brannsår|T20.1
forbrenning|T20.1
Brannskade av andre grad  på hode og hals|T20.2
brannsår|T20.2
forbrenning|T20.2
Brannskade av tredje grad  på hode og hals|T20.3
brannsår|T20.3
forbrenning|T20.3
Etseskade av uspesifisert grad på hode og hals|T20.4
Etseskade av første grad på hode og hals|T20.5
Etseskade av andre grad på hode og hals|T20.6
Etseskade av tredje grad på hode og hals|T20.7
Brannskade og etseskade på trunkus (truncus)|T21
bol|T21
brannsår|T21
forbrenning|T21
Brannskade av uspesifisert grad på trunkus|T21.0
bol|T21.0
brannsår|T21.0
forbrenning|T21.0
Brannskade av første grad på trunkus|T21.1
bol|T21.1
brannsår|T21.1
forbrenning|T21.1
Brannskade av andre grad på trunkus|T21.2
bol|T21.2
brannsår|T21.2
forbrenning|T21.2
Brannskade av tredje grad på trunkus|T21.3
bol|T21.3
brannsår|T21.3
forbrenning|T21.3
Etseskade av uspesifisert grad på trunkus|T21.4
bol|T21.4
Etseskade av første grad på trunkus|T21.5
bol|T21.5
Etseskade av andre grad på trunkus|T21.6
bol|T21.6
Etseskade av tredje grad på trunkus|T21.7
bol|T21.7
Brannskade og etseskade på skulder og overekstremitet, unntatt håndledd og hånd|T22
brannsår|T22
forbrenning|T22
Brannskade av uspesifisert grad på skulder og overekstremitet unntatt håndledd og hånd|T22.0
brannsår|T22.0
forbrenning|T22.0
Brannskade av første grad på skulder og overekstremitet, unntatt håndledd og hånd|T22.1
brannsår|T22.1
forbrenning|T22.1
Brannskade av andre grad på skulder og overekstremitet, unntatt håndledd og hånd|T22.2
brannsår|T22.2
forbrenning|T22.2
Brannskade av tredje grad på skulder og overekstremitet, unntatt håndledd og hånd|T22.3
brannsår|T22.3
forbrenning|T22.3
Etseskade av uspesifisert grad på skulder og overekstremitet, unntatt håndledd hånd|T22.4
Etseskade av første grad på skulder og overekstremitet, unntatt håndledd og hånd|T22.5
Etseskade av andre grad på skulder og overekstremitet, unntatt håndledd og hånd|T22.6
Etseskade av tredje grad på skulder og overekstremitet, unntatt håndledd og hånd|T22.7
Brannskade og etseskade på håndledd og hånd|T23
brannsår|T23
forbrenning|T23
Brannskade av uspesifisert grad på håndledd og hånd|T23.0
brannsår|T23.0
forbrenning|T23.0
Brannskade av første grad på håndledd og hånd|T23.1
brannsår|T23.1
forbrenning|T23.1
Brannskade av andre grad på håndledd og hånd|T23.2
brannsår|T23.2
forbrenning|T23.2
Brannskade av tredje grad på håndledd og hånd|T23.3
brannsår|T23.3
forbrenning|T23.3
Etseskade av uspesifisert grad på håndledd og hånd|T23.4
Etseskade av første grad på håndledd og hånd|T23.5
Etseskade av andre grad på håndledd og hånd|T23.6
Etseskade av tredje grad på håndledd og hånd|T23.7
Brannskade og etseskade på hofte og underekstremitet, unntatt ankel og fot|T24
brannsår|T24
forbrenning|T24
Brannskade av uspesifisert grad på hofte og underekstremitet, unntatt ankel og fot|T24.0
brannsår|T24.0
forbrenning|T24.0
Brannskade av første grad på hofte og underekstremitet, unntatt ankel og fot|T24.1
brannsår|T24.1
forbrenning|T24.1
Brannskade av andre grad på hofte og underekstremitet, unntatt ankel og fot|T24.2
brannsår|T24.2
forbrenning|T24.2
Brannskade av tredje grad på hofte og underekstremitet, unntatt ankel og fot|T24.3
brannsår|T24.3
forbrenning|T24.3
Etseskade av uspesifisert grad på hofte og underekstremitet, unntatt ankel og fot|T24.4
Etseskade av første grad på hofte og underekstremitet, unntatt ankel og fot|T24.5
Etseskade av andre grad på hofte og underekstremitet, unntatt ankel og fot|T24.6
Etseskade av tredje grad på hofte og underekstremitet, unntatt ankel og fot|T24.7
Brannskade og etseskade på ankel og fot|T25
brannsår|T25
forbrenning|T25
Brannskade av uspesifisert grad på ankel og fot|T25.0
brannskade i underekstremitet|T25.0
brannsår|T25.0
forbrenning|T25.0
Brannskade av første grad på ankel og fot|T25.1
brannsår|T25.1
forbrenning|T25.1
Brannskade av andre grad på ankel og fot|T25.2
brannsår|T25.2
forbrenning|T25.2
Brannskade av tredje grad på ankel og fot|T25.3
brannsår|T25.3
forbrenning|T25.3
Etseskade av uspesifisert grad på ankel og fot|T25.4
Etseskade av første grad på ankel og fot|T25.5
Etseskade av andre grad på ankel og fot|T25.6
Etseskade av tredje grad på ankel og fot|T25.7
Brannskade og etseskade begrenset til øye og øyeomgivelser|T26
brannsår|T26
forbrenning|T26
grein|T26
Brannskader og etseskader begrenset til øye og indre organer|T26-T28
brannsår|T26-T28
forbrenning|T26-T28
grein|T26-T28
Brannskade på øyelokk og i område omkring øye|T26.0
brannsår|T26.0
forbrenning|T26.0
Brannskade i hornhinne og konjunktivalsekk|T26.1
bindehinne|T26.1
brannsår|T26.1
forbrenning|T26.1
kornea|T26.1
Brannskade med ruptur og ødeleggelse av øyeeple som følge|T26.2
brannsår|T26.2
forbrenning|T26.2
Brannskade i andre spesifiserte deler av øye og øyeomgivelser|T26.3
brannsår|T26.3
forbrenning|T26.3
Brannskade i øye og øyeomgivelser, uspesifisert del|T26.4
brannsår|T26.4
forbrenning|T26.4
Etseskade på øyelokk og i område omkring øye|T26.5
Etseskade i hornhinne og konjunktivalsekk|T26.6
bindehinne|T26.6
kornea|T26.6
Etseskade med ruptur og ødeleggelse av øyeeple som følge|T26.7
Etseskade i andre spesifiserte deler av øye og øyeomgivelser|T26.8
Etseskade i øye og øyeomgivelser, uspesifisert del|T26.9
Brannskade og etseskade i luftveier|T27
brannsår|T27
forbrenning|T27
Brannskade i strupehode og luftrør|T27.0
brannsår|T27.0
forbrenning|T27.0
trakea|T27.0
Brannskade som omfatter strupehode og luftrør med lunge(r)|T27.1
brannsår|T27.1
forbrenning|T27.1
trakea|T27.1
Brannskade i andre spesifiserte deler av luftveier|T27.2
brannsår|T27.2
forbrenning|T27.2
Brannskade i luftveier, uspesifisert del|T27.3
brannskade i luftveier|T27.3
brannsår|T27.3
forbrenning|T27.3
Etseskade i strupehode og luftrør|T27.4
trakea|T27.4
Etseskade som omfatter strupehode og luftrør med lunge(r)|T27.5
trakea|T27.5
Etseskade av andre spesifiserte deler av luftveier|T27.6
Etseskade av luftveier, uspesifisert del|T27.7
Brannskade og etseskade av andre indre organer|T28
brannsår|T28
forbrenning|T28
Brannskade av munn og svelg|T28.0
brannsår|T28.0
farynks|T28.0
forbrenning|T28.0
Brannskade av spiserør|T28.1
brannsår|T28.1
esophagus|T28.1
forbrenning|T28.1
øsofagus|T28.1
Brannskade av andre spesifiserte deler av fordøyelseskanal|T28.2
brannsår|T28.2
forbrenning|T28.2
Brannskade av indre kjønnsorganer og urinveier|T28.3
brannsår|T28.3
forbrenning|T28.3
Brannskade av andre og uspesifiserte indre organer|T28.4
brannsår|T28.4
forbrenning|T28.4
Etseskade av munn og svelg|T28.5
farynks|T28.5
Etseskade av spiserør|T28.6
esophagus|T28.6
øsofagus|T28.6
Etseskade av andre spesifiserte deler av fordøyelseskanal|T28.7
Etseskade av indre kjønnsorganer og urinveier|T28.8
Etseskade av andre og uspesifiserte indre organer|T28.9
Brannskader og etseskader i flere kroppsregioner|T29
brannsår|T29
forbrenning|T29
Brannskader og etseskader i flere kroppsregioner|T29-T32
brannsår|T29-T32
forbrenning|T29-T32
Brannskader i flere regioner, uspesifisert grad|T29.0
brannsår|T29.0
forbrenning|T29.0
Brannskader i flere regioner, ikke angitt brannskader av høyere grad enn første|T29.1
brannsår|T29.1
forbrenning|T29.1
Brannskader i flere regioner, ikke angitt brannskader av høyere grad enn andre|T29.2
brannsår|T29.2
forbrenning|T29.2
Brannskader i flere regioner, minst én brannskade av tredje grad angitt|T29.3
brannsår|T29.3
forbrenning|T29.3
Etseskader i flere regioner, uspesifisert grad|T29.4
Etseskader i flere regioner, ikke angitt etseskader av høyere grad enn første|T29.5
Etseskader i flere regioner, ikke angitt etseskader av høyere grad enn andre|T29.6
Etseskader i flere regioner, minst én etseskade av tredje grad angitt|T29.7
Brannskade og etseskade, uspesifisert kroppsregion|T30
brannsår|T30
forbrenning|T30
Brannskade i uspesifisert kroppsregion, uspesifisert grad|T30.0
brannskade|T30.0
brannsår|T30.0
forbrenning|T30.0
Brannskade av første grad , uspesifisert kroppsregion|T30.1
brannsår|T30.1
forbrenning|T30.1
Brannskade av andre grad , uspesifisert kroppsregion|T30.2
brannsår|T30.2
forbrenning|T30.2
Brannskade av tredje grad , uspesifisert kroppsregion|T30.3
brannsår|T30.3
forbrenning|T30.3
Etseskade i uspesifisert kroppsregion, uspesifisert grad|T30.4
Etseskade av første grad, uspesifisert kroppsregion|T30.5
Etseskade av andre grad, uspesifisert kroppsregion|T30.6
Etseskade av tredje grad, uspesifisert kroppsregion|T30.7
Brannskader klassifisert etter størrelse på berørt kroppsoverflate|T31
brannsår|T31
forbrenning|T31
Brannskader som omfatter mindre enn 10 % av kroppsoverflaten|T31.0
brannsår|T31.0
forbrenning|T31.0
Brannskader som omfatter 10-19 % av kroppsoverflaten|T31.1
brannsår|T31.1
forbrenning|T31.1
Brannskader som omfatter 20-29 % av kroppsoverflaten|T31.2
brannsår|T31.2
forbrenning|T31.2
Brannskader som omfatter 30-39 % av kroppsoverflaten|T31.3
brannsår|T31.3
